pygame 2.6.1 (SDL 2.28.4, Python 3.12.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
[AI][Fantasma 0] mode=random mc=(9, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=random mc=(9, 0) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(0, 9) dir=0 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 3] mode=random mc=(0, 0) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(8, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=alpha_beta_solo mc=(8, 0) dir=3 depth=4 time_ms=0.489 nodes=19 cache_hits=0 tabu=1 tt=19 timeout=False score=-4.15 branches=1 
[AI][Fantasma 2] mode=random mc=(0, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 3] mode=random mc=(0, 1) dir=2 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 2] mode=random mc=(1, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 0] mode=random mc=(7, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[AI][Fantasma 1] mode=alpha_beta_solo mc=(7, 0) dir=2 depth=4 time_ms=0.728 nodes=29 cache_hits=0 tabu=2 tt=48 timeout=False score=-3.45 branches=3 
[AI][Fantasma 3] mode=random mc=(0, 2) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
