pygame 2.6.1 (SDL 2.28.4, Python 3.12.13)
Hello from the pygame community. https://www.pygame.org/contribute.html
[Fantasma 0] mode=random mc=(9, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 1] mode=alpha_beta_solo mc=(9, 0) dir=3 depth=4 time_ms=0.136 nodes=16 cache_hits=0 tabu=1 tt=16 timeout=False score=-4.85 branches=2 
[Fantasma 2] mode=alpha_beta_manada mc=(0, 9) dir=0 depth=3 time_ms=0.147 nodes=8 cache_hits=0 tabu=1 tt=8 timeout=False score=-1.53 branches=2 partner_dir=2
[Fantasma 3] mode=alpha_beta_manada mc=(0, 0) dir=2 depth=3 time_ms=0.204 nodes=13 cache_hits=0 tabu=1 tt=13 timeout=False score=-0.63 branches=4 partner_dir=1
[Fantasma 0] mode=random mc=(8, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 1] mode=alpha_beta_solo mc=(8, 0) dir=3 depth=4 time_ms=0.489 nodes=19 cache_hits=0 tabu=2 tt=35 timeout=False score=-4.15 branches=1 
[Fantasma 2] mode=alpha_beta_manada mc=(0, 8) dir=1 depth=3 time_ms=0.245 nodes=11 cache_hits=0 tabu=2 tt=19 timeout=False score=-0.93 branches=4 partner_dir=1
[Fantasma 3] mode=alpha_beta_manada mc=(0, 1) dir=1 depth=3 time_ms=0.483 nodes=19 cache_hits=0 tabu=2 tt=32 timeout=False score=-0.63 branches=6 partner_dir=2
[Fantasma 2] mode=alpha_beta_manada mc=(1, 8) dir=1 depth=3 time_ms=0.364 nodes=13 cache_hits=0 tabu=3 tt=32 timeout=False score=-0.93 branches=2 partner_dir=1
[Fantasma 0] mode=random mc=(7, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 1] mode=alpha_beta_solo mc=(7, 0) dir=2 depth=4 time_ms=0.471 nodes=29 cache_hits=0 tabu=3 tt=64 timeout=False score=-3.45 branches=3 
[Fantasma 3] mode=alpha_beta_manada mc=(1, 1) dir=1 depth=3 time_ms=0.389 nodes=13 cache_hits=0 tabu=3 tt=45 timeout=False score=-0.93 branches=2 partner_dir=1
[Fantasma 2] mode=alpha_beta_manada mc=(2, 8) dir=0 depth=3 time_ms=0.588 nodes=17 cache_hits=0 tabu=4 tt=49 timeout=False score=-1.00 branches=6 partner_dir=1
[Fantasma 0] mode=random mc=(6, 9) dir=3 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 3] mode=alpha_beta_manada mc=(2, 1) dir=2 depth=3 time_ms=0.839 nodes=28 cache_hits=0 tabu=4 tt=73 timeout=False score=-0.93 branches=6 partner_dir=3
[Fantasma 1] mode=alpha_beta_solo mc=(7, 1) dir=2 depth=4 time_ms=0.573 nodes=42 cache_hits=0 tabu=4 tt=106 timeout=False score=-3.20 branches=3 
[Fantasma 2] mode=alpha_beta_manada mc=(2, 7) dir=1 depth=3 time_ms=0.448 nodes=23 cache_hits=0 tabu=5 tt=72 timeout=False score=-1.60 branches=6 partner_dir=2
[Fantasma 0] mode=random mc=(5, 9) dir=0 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 3] mode=alpha_beta_manada mc=(2, 2) dir=2 depth=3 time_ms=0.704 nodes=28 cache_hits=0 tabu=5 tt=101 timeout=False score=-1.60 branches=6 partner_dir=1
[Fantasma 1] mode=alpha_beta_solo mc=(7, 2) dir=2 depth=4 time_ms=0.411 nodes=34 cache_hits=0 tabu=5 tt=140 timeout=False score=-1.80 branches=2 
[Fantasma 2] mode=alpha_beta_manada mc=(3, 7) dir=2 depth=3 time_ms=0.317 nodes=12 cache_hits=0 tabu=6 tt=84 timeout=False score=-1.40 branches=3 partner_dir=2
[Fantasma 0] mode=random mc=(5, 8) dir=1 depth=0 time_ms=0.000 nodes=0 cache_hits=0 tabu=0 tt=0 timeout=False 
[Fantasma 3] mode=alpha_beta_manada mc=(2, 3) dir=2 depth=3 time_ms=0.553 nodes=16 cache_hits=0 tabu=6 tt=117 timeout=False score=-1.40 branches=3 partner_dir=2
[Fantasma 1] mode=alpha_beta_solo mc=(7, 3) dir=2 depth=4 time_ms=0.347 nodes=21 cache_hits=0 tabu=6 tt=161 timeout=False score=-1.80 branches=1 
[Fantasma 2] mode=alpha_beta_manada mc=(3, 8) dir=1 depth=3 time_ms=0.383 nodes=15 cache_hits=0 tabu=6 tt=99 timeout=False score=-1.53 branches=6 partner_dir=1
[Fantasma 3] mode=alpha_beta_manada mc=(2, 4) dir=1 depth=3 time_ms=0.553 nodes=24 cache_hits=0 tabu=6 tt=141 timeout=False score=-1.53 branches=6 partner_dir=1
[Fantasma 1] mode=alpha_beta_solo mc=(7, 4) dir=2 depth=4 time_ms=0.414 nodes=32 cache_hits=0 tabu=6 tt=193 timeout=False score=-1.30 branches=3 
